,Date,Event-Code,Event-Name,Full Name,Fighter-2-Name,W,L,D,NC,KO/TKO,Submission,Decision - Unanimous,Decision - Majority,Decision - Split,TKO - Doctor's Stoppage,DQ,Overturned,Could Not Continue,Other,Details,Judge-1-Name,Judge-1-Score,Judge-2-Name,Judge-2-Score,Judge-3-Name,Judge-3-Score,Finish-Time,Finish-Round,Total-Rounds,Total-Fight-Time-Sec,Referee,Belt,Women's-Bout,Interim-Bout,Strawweight,Flyweight,Bantamweight,Featherweight,Lightweight,Welterweight,Middleweight,Light-Heavyweight,Heavyweight,Catch-Weight,Open-Weight,Super-Heavyweight,Superfight,Fight-Bonus,Performance-Bonus,KO-Bonus,Submission-Bonus,Knockdowns,Significant-Strike-Land,Significant-Strike-Attempt,Significant-Strike-Percent,Total-Strikes-Land,Total-Strikes-Attempt,Takedown-Success,Takedown-Land,Takedown-Percent,Submission-Attempt,Submission-Reverse,Control-Time-Sec,Head-Land,Head-Attempt,Body-Land,Body-Attempt,Leg-Land,Leg-Attempt,Distance-Land,Distance-Attempt,Clinch-Land,Clinch-Attempt,Ground-Land,Ground-Attempt,Fighter-Active-Status,Fight-City,Fight-State,Fight-Country,PPV-Sales,Height,Weight,Reach,Stance,Date of Birth,SLpM,StrAcc,SApM,StrDef,TdAvg,TdAcc,TdDef,SubAvg,Age-Days,Age,Round-1-Knockdown,Round-1-Significant-Strikes,Round-1-Significant-Strikes-Percent,Round-1-Total-Strikes,Round-1-Takedowns,Round-1-Takedown-Percent,Round-1-Submission-Attempt,Round-1-Submission-Reverse,Round-1-Control-Time,Round-1-Head,Round-1-Body,Round-1-Leg,Round-1-Distance,Round-1-Clinch,Round-1-Ground,Round-2-Knockdown,Round-2-Significant-Strikes,Round-2-Significant-Strikes-Percent,Round-2-Total-Strikes,Round-2-Takedowns,Round-2-Takedown-Percent,Round-2-Submission-Attempt,Round-2-Submission-Reverse,Round-2-Control-Time,Round-2-Head,Round-2-Body,Round-2-Leg,Round-2-Distance,Round-2-Clinch,Round-2-Ground,Round-3-Knockdown,Round-3-Significant-Strikes,Round-3-Significant-Strikes-Percent,Round-3-Total-Strikes,Round-3-Takedowns,Round-3-Takedown-Percent,Round-3-Submission-Attempt,Round-3-Submission-Reverse,Round-3-Control-Time,Round-3-Head,Round-3-Body,Round-3-Leg,Round-3-Distance,Round-3-Clinch,Round-3-Ground,Round-4-Knockdown,Round-4-Significant-Strikes,Round-4-Significant-Strikes-Percent,Round-4-Total-Strikes,Round-4-Takedowns,Round-4-Takedown-Percent,Round-4-Submission-Attempt,Round-4-Submission-Reverse,Round-4-Control-Time,Round-4-Head,Round-4-Body,Round-4-Leg,Round-4-Distance,Round-4-Clinch,Round-4-Ground,Round-5-Knockdown,Round-5-Significant-Strikes,Round-5-Significant-Strikes-Percent,Round-5-Total-Strikes,Round-5-Takedowns,Round-5-Takedown-Percent,Round-5-Submission-Attempt,Round-5-Submission-Reverse,Round-5-Control-Time,Round-5-Head,Round-5-Body,Round-5-Leg,Round-5-Distance,Round-5-Clinch,Round-5-Ground
0,2021-03-06 00:00:00,6e2b1d631832921d,UFC 259: Blachowicz vs. Adesanya,Aalon Cruz,Uros Medic,0,1,0,0,1,0,0,0,0,0,0,0,0,0,Punches to Head On Ground,,,,,,,1:40,1,3,100,Mark Smith,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3,0,0,3,0,2,0,0,0,11,0,2,0,1,0,0,0,3,0,0,0,0,0,Las Vegas, Nevada, USA,800000,"6' 0""",145,78,Switch,1989-09-20 00:00:00,7.58,39,8.88,58,0,0,0,0,11490,31,0,0 of 3,0,0 of 3,0 of 2,0,0,0,0:11,0 of 2,0 of 1,0 of 0,0 of 3,0 of 0,0 of 0,0,,0,,,0,0,0,,,,,,,,0,,0,,,0,0,0,,,,,,,,0,,0,,,0,0,0,,,,,,,,0,,0,,,0,0,0,,,,,,,
1,2020-02-29 00:00:00,fc9a9559a05f2704,UFC Fight Night: Benavidez vs. Figueiredo,Aalon Cruz,Spike Carlyle,0,1,0,0,1,0,0,0,0,0,0,0,0,0,Punches to Head From Mount,,,,,,,1:25,1,3,85,Scott Howard,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,12,16,2,12,0,1,0,0,0,5,2,4,0,4,0,4,2,12,0,0,0,0,0,Norfolk, Virginia, USA,,"6' 0""",145,78,Switch,1989-09-20 00:00:00,7.58,39,8.88,58,0,0,0,0,11119,30,0,2 of 12,16,2 of 12,0 of 1,0,0,0,0:05,2 of 4,0 of 4,0 of 4,2 of 12,0 of 0,0 of 0,0,,0,,,0,0,0,,,,,,,,0,,0,,,0,0,0,,,,,,,,0,,0,,,0,0,0,,,,,,,,0,,0,,,0,0,0,,,,,,,
2,2000-11-17 00:00:00,da6dfd09cca1d705,UFC 28: High Stakes,Aaron Brink,Andrei Arlovski,0,1,0,0,0,1,0,0,0,0,0,0,0,0,Armbar On Ground,,,,,,,0:55,1,3,55,John McCarthy,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,5,0,0,5,0,1,0,0,0,4,0,5,0,0,0,0,0,3,0,2,0,0,0,Atlantic City, New Jersey, USA,,"6' 3""",205,,Orthodox,1974-11-12 00:00:00,3.49,42,5.71,57,0,0,0,0,9502,26,0,0 of 5,0,0 of 5,0 of 1,0,0,0,0:04,0 of 5,0 of 0,0 of 0,0 of 3,0 of 2,0 of 0,0,,0,,,0,0,0,,,,,,,,0,,0,,,0,0,0,,,,,,,,0,,0,,,0,0,0,,,,,,,,0,,0,,,0,0,0,,,,,,,
3,2014-08-23 00:00:00,063649e21bc9d6d5,UFC Fight Night: Henderson vs Dos Anjos,Aaron Phillips,Matt Hobar,0,1,0,0,0,0,1,0,0,0,0,0,0,0,,Derek Cleary,28 - 29,Bobby Higdon,28 - 29,Jim Lambert,28 - 29,5:00,3,3,900,Kevin Nix,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,54,70,230,279,0,1,0,0,0,0,23,39,12,12,3,3,14,25,17,18,7,11,1,Tulsa, Oklahoma, USA,,"5' 9""",135,71,Southpaw,1989-08-05 00:00:00,1.65,56,3.44,39,0,0,44,0.4,9149,25,0,9 of 16,56,83 of 106,0 of 0,0,0,0,0:00,6 of 13,1 of 1,2 of 2,2 of 6,1 of 1,6 of 9,0,22 of 27,81,64 of 73,0 of 1,0,0,0,0:00,14 of 19,7 of 7,1 of 1,11 of 15,10 of 10,1 of 2,0,7 of 11,63,83 of 100,0 of 0,0,0,0,0:00,3 of 7,4 of 4,0 of 0,1 of 4,6 of 7,0 of 0,0,,0,,,0,0,0,,,,,,,,0,,0,,,0,0,0,,,,,,,
4,2020-07-15 00:00:00,18f5669a92e99d92,UFC Fight Night: Kattar vs. Ige,Aaron Phillips,Jack Shore,0,1,0,0,0,1,0,0,0,0,0,0,0,0,Rear Naked Choke,,,,,,,2:29,2,3,449,Herb Dean,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,15,40,7,16,0,0,,0,0,5,1,9,5,6,0,0,5,14,1,1,0,0,1,Abu Dhabi, Abu Dhabi, United Arab Emirates,,"5' 9""",135,71,Southpaw,1989-08-05 00:00:00,1.65,56,3.44,39,0,0,44,0.4,11302,30,0,3 of 8,37,4 of 9,0 of 0,0,0,0,0:05,0 of 5,3 of 3,0 of 0,2 of 7,1 of 1,0 of 0,0,3 of 7,42,3 of 7,0 of 0,0,0,0,0:00,1 of 4,2 of 3,0 of 0,3 of 7,0 of 0,0 of 0,0,,0,,,0,0,0,,,,,,,,0,,0,,,0,0,0,,,,,,,,0,,0,,,0,0,0,,,,,,,
5,2014-05-24 00:00:00,9ca265dfe8323db3,UFC 173: Barao vs Dillashaw,Aaron Phillips,Sam Sicilia,0,1,0,0,0,0,1,0,0,0,0,0,0,0,,Adalaide Byrd,28 - 29,Glenn Trowbridge,28 - 29,Derek Cleary,27 - 30,5:00,3,3,900,Jason Herzog,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,40,45,109,137,0,0,,1,1,68,5,23,12,14,1,3,9,26,3,6,6,8,1,Las Vegas, Nevada, USA,215000,"5' 9""",135,71,Southpaw,1989-08-05 00:00:00,1.65,56,3.44,39,0,0,44,0.4,9058,24,0,9 of 27,33,25 of 44,0 of 0,0,0,0,0:01,2 of 16,6 of 8,1 of 3,7 of 22,2 of 5,0 of 0,0,7 of 9,77,44 of 48,0 of 0,0,0,1,1:05,2 of 4,5 of 5,0 of 0,1 of 2,0 of 0,6 of 7,0,2 of 4,50,40 of 45,0 of 0,0,1,0,0:02,1 of 3,1 of 1,0 of 0,1 of 2,1 of 1,0 of 1,0,,0,,,0,0,0,,,,,,,,0,,0,,,0,0,0,,,,,,,
6,2009-03-07 00:00:00,29b5791e51e7e832,UFC 96: Jackson vs Jardine,Aaron Riley,Shane Nelson,0,1,0,0,1,0,0,0,0,0,0,0,0,0,Punch to Head At Distance,,,,,,,0:44,1,3,44,Rick Fike,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,9,44,4,9,0,0,,0,0,2,0,5,1,1,3,3,4,9,0,0,0,0,0,Columbus, Ohio, USA,350000,"5' 8""",155,69,Southpaw,1980-12-09 00:00:00,3.45,34,3.78,61,1.18,34,60,0.1,10315,28,0,4 of 9,44,4 of 9,0 of 0,0,0,0,0:02,0 of 5,1 of 1,3 of 3,4 of 9,0 of 0,0 of 0,0,,0,,,0,0,0,,,,,,,,0,,0,,,0,0,0,,,,,,,,0,,0,,,0,0,0,,,,,,,,0,,0,,,0,0,0,,,,,,,
7,2006-01-16 00:00:00,2ee09ec2a0695eb9,UFC Fight Night 3,Aaron Riley,Spencer Fisher,0,1,0,0,0,0,0,0,0,1,0,0,0,0,Jaw Injury,,,,,,,5:00,1,3,300,John McCarthy,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,9,23,39,17,32,2,4,50,0,0,89,2,15,4,5,3,3,1,13,7,9,1,1,0,Las Vegas, Nevada, USA,,"5' 8""",155,69,Southpaw,1980-12-09 00:00:00,3.45,34,3.78,61,1.18,34,60,0.1,9169,25,0,9 of 23,39,17 of 32,2 of 4,50,0,0,1:29,2 of 15,4 of 5,3 of 3,1 of 13,7 of 9,1 of 1,0,,0,,,0,0,0,,,,,,,,0,,0,,,0,0,0,,,,,,,,0,,0,,,0,0,0,,,,,,,,0,,0,,,0,0,0,,,,,,,
8,2009-08-08 00:00:00,48d1f690b763934c,UFC 101: Declaration,Aaron Riley,Shane Nelson,1,0,0,0,0,0,1,0,0,0,0,0,0,0,,Nelson Hamilton,30 - 27,Eric Colon,30 - 27,Jeff Blatnick,30 - 27,5:00,3,3,900,Kevin Mulhall,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,50,122,40,154,236,2,5,40,0,0,468,28,96,18,22,4,4,16,74,24,35,10,13,0,Philadelphia, Pennsylvania, USA,850000,"5' 8""",155,69,Southpaw,1980-12-09 00:00:00,3.45,34,3.78,61,1.18,34,60,0.1,10469,28,0,20 of 39,51,36 of 55,0 of 2,0,0,0,1:36,7 of 24,11 of 13,2 of 2,5 of 19,15 of 20,0 of 0,0,18 of 51,35,41 of 78,1 of 2,50,0,0,2:33,11 of 42,5 of 7,2 of 2,7 of 34,9 of 15,2 of 2,0,12 of 32,37,77 of 103,1 of 1,100,0,0,3:39,10 of 30,2 of 2,0 of 0,4 of 21,0 of 0,8 of 11,0,,0,,,0,0,0,,,,,,,,0,,0,,,0,0,0,,,,,,,
9,2013-07-27 00:00:00,5330fe7e4c3af81c,UFC on FOX: Johnson vs Moraga,Aaron Riley,Justin Salas,0,1,0,0,0,0,0,0,1,0,0,0,0,0,,Sal D'amato,29 - 28,Lamont Nelson,28 - 29,Chris Lee,29 - 28,5:00,3,3,900,Randy Corley,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,26,172,15,26,172,0,0,,0,0,0,10,123,8,34,8,15,23,169,3,3,0,0,0,Seattle, Washington, USA,,"5' 8""",155,69,Southpaw,1980-12-09 00:00:00,3.45,34,3.78,61,1.18,34,60,0.1,11918,32,0,8 of 53,15,8 of 53,0 of 0,0,0,0,0:00,3 of 39,3 of 10,2 of 4,8 of 53,0 of 0,0 of 0,0,8 of 52,15,8 of 52,0 of 0,0,0,0,0:00,5 of 42,1 of 8,2 of 2,6 of 50,2 of 2,0 of 0,0,10 of 67,14,10 of 67,0 of 0,0,0,0,0:00,2 of 42,4 of 16,4 of 9,9 of 66,1 of 1,0 of 0,0,,0,,,0,0,0,,,,,,,,0,,0,,,0,0,0,,,,,,,
